x	y	psi	u	v	p
0.007813	0.968750	-0.000926	-0.044501	0.169402	-0.086713
0.007813	0.976563	-0.001365	-0.077298	0.217320	-0.136666
0.007813	0.984375	-0.002134	-0.111158	0.269374	-0.232104
0.007813	0.992188	-0.003102	0.136552	0.266661	-0.385728
0.007813	1.000000	-0.000000	1.000000	0.000000	-0.476121
0.015625	0.000000	0.000000	0.000000	0.000000	0.035413
0.015625	0.007813	0.000000	0.000049	-0.000026	0.035409
0.015625	0.015625	0.000001	0.000087	-0.000086	0.035404
0.015625	0.023438	0.000001	0.000107	-0.000166	0.035409
0.015625	0.031250	0.000002	0.000111	-0.000250	0.035423
0.015625	0.039063	0.000003	0.000100	-0.000328	0.035448
0.015625	0.046875	0.000004	0.000078	-0.000390	0.035483
0.015625	0.054688	0.000004	0.000047	-0.000425	0.035528
0.015625	0.062500	0.000005	0.000008	-0.000428	0.035581
0.015625	0.070313	0.000004	-0.000036	-0.000392	0.035643
0.015625	0.078125	0.000004	-0.000086	-0.000312	0.035712
0.015625	0.085938	0.000003	-0.000139	-0.000185	0.035786
0.015625	0.093750	0.000002	-0.000197	-0.000005	0.035866
0.015625	0.101563	0.000000	-0.000257	0.000229	0.035948
0.015625	0.109375	-0.000002	-0.000321	0.000522	0.036033
0.015625	0.117188	-0.000005	-0.000386	0.000874	0.036118
0.015625	0.125000	-0.000008	-0.000454	0.001289	0.036202
0.015625	0.132813	-0.000012	-0.000524	0.001769	0.036285
0.015625	0.140625	-0.000016	-0.000596	0.002314	0.036363
0.015625	0.148438	-0.000021	-0.000669	0.002927	0.036436
0.015625	0.156250	-0.000027	-0.000742	0.003607	0.036502
0.015625	0.164063	-0.000033	-0.000817	0.004357	0.036559
0.015625	0.171875	-0.000039	-0.000891	0.005175	0.036605
0.015625	0.179688	-0.000047	-0.000965	0.006061	0.036639
0.015625	0.187500	-0.000055	-0.001039	0.007017	0.036659
0.015625	0.195313	-0.000063	-0.001112	0.008039	0.036662
0.015625	0.203125	-0.000072	-0.001183	0.009129	0.036648
0.015625	0.210938	-0.000082	-0.001253	0.010283	0.036613
0.015625	0.218750	-0.000091	-0.001320	0.011501	0.036557
0.015625	0.226563	-0.000102	-0.001385	0.012779	0.036477
0.015625	0.234375	-0.000113	-0.001447	0.014116	0.036371
0.015625	0.242188	-0.000125	-0.001506	0.015507	0.036239
0.015625	0.250000	-0.000137	-0.001560	0.016951	0.036078
0.015625	0.257813	-0.000149	-0.001611	0.018443	0.035886
0.015625	0.265625	-0.000162	-0.001657	0.019980	0.035663
0.015625	0.273438	-0.000175	-0.001698	0.021556	0.035408
0.015625	0.281250	-0.000188	-0.001733	0.023168	0.035119
0.015625	0.289063	-0.000202	-0.001764	0.024810	0.034794
0.015625	0.296875	-0.000216	-0.001788	0.026478	0.034435
0.015625	0.304688	-0.000230	-0.001807	0.028166	0.034039
0.015625	0.312500	-0.000244	-0.001819	0.029868	0.033607
0.015625	0.320313	-0.000259	-0.001825	0.031579	0.033138
0.015625	0.328125	-0.000273	-0.001824	0.033294	0.032633
0.015625	0.335938	-0.000287	-0.001817	0.035005	0.032092
0.015625	0.343750	-0.000301	-0.001803	0.036708	0.031515
0.015625	0.351563	-0.000315	-0.001783	0.038397	0.030903
0.015625	0.359375	-0.000329	-0.001756	0.040065	0.030257
0.015625	0.367188	-0.000343	-0.001722	0.041706	0.029578
0.015625	0.375000	-0.000356	-0.001683	0.043316	0.028868
0.015625	0.382813	-0.000369	-0.001637	0.044887	0.028128
0.015625	0.390625	-0.000381	-0.001585	0.046415	0.027359
0.015625	0.398438	-0.000394	-0.001527	0.047895	0.026565
0.015625	0.406250	-0.000405	-0.001465	0.049321	0.025747
0.015625	0.414063	-0.000417	-0.001396	0.050688	0.024907
0.015625	0.421875	-0.000427	-0.001323	0.051992	0.024047
0.015625	0.429688	-0.000437	-0.001246	0.053228	0.023171
0.015625	0.437500	-0.000447	-0.001165	0.054393	0.022281
0.015625	0.445313	-0.000456	-0.001080	0.055483	0.021378
0.015625	0.453125	-0.000463	-0.000992	0.056494	0.020467
0.015625	0.460938	-0.000471	-0.000901	0.057424	0.019550
0.015625	0.468750	-0.000477	-0.000807	0.058270	0.018630
0.015625	0.476563	-0.000484	-0.000712	0.059031	0.017709
0.015625	0.484375	-0.000489	-0.000615	0.059703	0.016790
0.015625	0.492188	-0.000493	-0.000518	0.060287	0.015876
0.015625	0.500000	-0.000497	-0.000420	0.060781	0.014970
0.015625	0.507813	-0.000500	-0.000322	0.061185	0.014074
0.015625	0.515625	-0.000502	-0.000225	0.061498	0.013190
0.015625	0.523438	-0.000503	-0.000128	0.061721	0.012321
0.015625	0.531250	-0.000504	-0.000033	0.061855	0.011469
0.015625	0.539063	-0.000504	0.000060	0.061901	0.010636
0.015625	0.546875	-0.000503	0.000151	0.061860	0.009825
0.015625	0.554688	-0.000501	0.000240	0.061735	0.009036
0.015625	0.562500	-0.000499	0.000326	0.061527	0.008272
0.015625	0.570313	-0.000496	0.000408	0.061240	0.007533
0.015625	0.578125	-0.000493	0.000487	0.060875	0.006822
0.015625	0.585938	-0.000489	0.000562	0.060437	0.006138
0.015625	0.593750	-0.000484	0.000632	0.059928	0.005484
0.015625	0.601563	-0.000479	0.000698	0.059354	0.004859
0.015625	0.609375	-0.000473	0.000760	0.058717	0.004265
0.015625	0.617188	-0.000467	0.000816	0.058022	0.003701
0.015625	0.625000	-0.000460	0.000867	0.057274	0.003168
0.015625	0.632813	-0.000453	0.000913	0.056477	0.002666
0.015625	0.640625	-0.000446	0.000953	0.055637	0.002194
0.015625	0.648438	-0.000439	0.000987	0.054758	0.001752
0.015625	0.656250	-0.000431	0.001016	0.053846	0.001340
0.015625	0.664063	-0.000423	0.001039	0.052906	0.000957
0.015625	0.671875	-0.000414	0.001055	0.051944	0.000603
0.015625	0.679688	-0.000406	0.001066	0.050966	0.000275
0.015625	0.687500	-0.000398	0.001069	0.049977	-0.000026
0.015625	0.695313	-0.000390	0.001067	0.048984	-0.000302
0.015625	0.703125	-0.000381	0.001057	0.047994	-0.000554
0.015625	0.710938	-0.000373	0.001040	0.047012	-0.000783
0.015625	0.718750	-0.000365	0.001016	0.046046	-0.000992
0.015625	0.726563	-0.000357	0.000985	0.045103	-0.001180
0.015625	0.734375	-0.000349	0.000945	0.044190	-0.001351
0.015625	0.742188	-0.000342	0.000896	0.043315	-0.001506
0.015625	0.750000	-0.000335	0.000838	0.042488	-0.001647
0.015625	0.757813	-0.000329	0.000770	0.041717	-0.001776
0.015625	0.765625	-0.000323	0.000690	0.041013	-0.001894
0.015625	0.773438	-0.000318	0.000597	0.040387	-0.002005
0.015625	0.781250	-0.000314	0.000489	0.039852	-0.002111
0.015625	0.789063	-0.000311	0.000364	0.039424	-0.002214
0.015625	0.796875	-0.000308	0.000218	0.039120	-0.002319
0.015625	0.804688	-0.000307	0.000049	0.038959	-0.002428
0.015625	0.812500	-0.000308	-0.000150	0.038965	-0.002547
0.015625	0.820313	-0.000310	-0.000384	0.039168	-0.002680
0.015625	0.828125	-0.000314	-0.000661	0.039600	-0.002835
